,Date,Weight
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,2019-12-30,
11,2019-12-31,157.0
12,2020-01-01,159.4
13,2020-01-02,160.4
14,2020-01-03,158.0
15,2020-01-04,159.4
16,2020-01-05,158.2
17,2020-01-06,158.0
18,2020-01-07,157.2
19,2020-01-08,157.6
20,2020-01-09,158.8
21,2020-01-10,157.6
22,2020-01-11,157.6
23,2020-01-12,157.6
24,2020-01-13,159.0
25,2020-01-14,159.0
26,2020-01-15,157.6
27,2020-01-16,158.8
28,2020-01-17,158.6
29,2020-01-18,157.2
30,2020-01-19,157.2
31,2020-01-20,158.2
32,2020-01-21,158.6
33,2020-01-22,159.0
34,2020-01-23,158.8
35,2020-01-24,158.8
36,2020-01-25,159.2
37,2020-01-26,159.6
38,2020-01-27,157.2
39,2020-01-28,157.2
40,2020-01-29,157.2
41,2020-01-30,157.2
42,2020-01-31,160.0
43,2020-02-01,159.2
44,2020-02-02,157.2
45,2020-02-03,158.8
46,2020-02-04,161.0
47,2020-02-05,161.0
48,2020-02-06,161.2
49,2020-02-07,161.2
50,2020-02-08,158.2
51,2020-02-09,158.2
52,2020-02-10,158.0
53,2020-02-11,160.0
54,2020-02-12,159.6
55,2020-02-13,161.2
56,2020-02-14,160.2
57,2020-02-15,161.2
58,2020-02-16,161.2
59,2020-02-17,161.2
60,2020-02-18,161.2
61,2020-02-19,160.2
62,2020-02-20,160.2
63,2020-02-21,160.2
64,2020-02-22,160.2
65,2020-02-23,160.4
66,2020-02-24,160.4
67,2020-02-25,161.4
68,2020-02-26,161.4
69,2020-02-27,159.4
70,2020-02-28,159.8
71,2020-02-29,159.8
72,2020-03-01,161.8
73,2020-03-02,161.4
74,2020-03-03,161.4
75,2020-03-04,161.0
76,2020-03-05,159.8
77,2020-03-07,157.8
78,2020-03-08,159.8
79,2020-03-09,163.4
80,2020-03-10,164.4
81,2020-03-11,164.4
82,2020-03-12,164.2
83,2020-03-13,165.0
84,2020-03-14,162.4
85,2020-03-15,161.2
86,2020-03-16,160.8
87,2020-03-17,160.8
88,2020-03-18,161.2
89,2020-03-19,162.0
90,2020-03-20,163.0
91,2020-03-21,163.0
92,2020-03-23,162.4
93,2020-03-24,160.8
94,2020-03-25,160.8
95,2020-03-26,162.6
96,2020-03-27,161.2
97,2020-03-28,161.2
98,2020-03-29,159.6
99,2020-03-30,159.2
100,2020-03-31,159.2
101,2020-04-01,159.2
102,2020-04-02,159.4
103,2020-04-03,159.4
104,2020-04-04,159.4
105,2020-04-05,161.0
106,2020-04-06,161.4
107,2020-04-07,161.2
108,2020-04-08,159.6
109,2020-04-09,159.6
110,2020-04-10,160.2
111,2020-04-11,160.8
112,2020-04-12,161.6
113,2020-04-13,161.6
114,2020-04-14,159.6
115,2020-04-15,160.0
116,2020-04-16,161.2
