Date,Weight,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Mood,Pain,Tired
2019-12-30,157,1865,1595,1,0,1402,38,0,0,190,7,0,0
2019-12-31,157,1930,748,0.35,0,683,66,0,0,216,6,1,1
2020-01-01,159.4,1988,1041,0.51,0,1123,79,0,0,267,6,0,0
2020-01-02,160.4,1862,321,0.15,0,284,31,0,0,102,6,0,0
2020-01-03,158,2046,1659,0.78,1,152,60,3,8,291,7,0,0
2020-01-04,159.4,2670,8407,3.96,8,912,255,8,16,1173,6,2,1
2020-01-05,158.2,2306,4520,2.17,2,998,165,5,8,690,7,2,0
2020-01-06,158,2215,3202,1.44,3,861,139,0,0,540,8,1,0
2020-01-07,157.2,2206,1542,0.72,0,621,137,0,0,496,8,0,0
2020-01-08,157.6,2282,4072,1.92,3,661,109,17,12,628,8,0,0
2020-01-09,158.8,2630,7914,3.71,5,860,246,11,15,1130,8,1,0
2020-01-10,157.6,2505,6565,3.09,3,843,203,19,12,974,8,0,1
2020-01-11,157.6,1976,696,0.33,0,812,72,0,0,224,8,0,0
2020-01-12,157.6,2551,6694,3.42,2,630,177,1,22,945,8,0,0
2020-01-13,159,2367,4503,2.1,2,797,159,3,8,728,8,0,0
2020-01-14,159,2474,6219,2.98,6,725,188,8,17,912,8,0,0
2020-01-15,157.6,2356,3850,1.81,1,739,145,7,9,692,8,0,0
2020-01-16,158.8,2256,3318,1.54,2,683,124,2,9,591,8,0,0
2020-01-17,158.6,2508,6841,3.21,5,786,175,18,20,970,7,1,1
2020-01-18,157.2,2356,4867,2.29,3,735,183,2,13,779,7,0,0
2020-01-19,,2517,5618,3.01,2,724,158,1,25,870,7,1,1
2020-01-20,158.2,2043,860,0.4,0,799,82,0,0,275,7,0,0
2020-01-21,158.6,2037,1855,0.87,1,512,56,2,10,308,8,0,0
2020-01-22,159,2363,5565,2.61,3,717,158,9,16,777,8,0,0
2020-01-23,158.8,2526,7363,3.47,4,843,204,7,18,1002,8,1,0
2020-01-24,,2419,4340,2.08,2,1250,165,11,14,810,7,1,1
2020-01-25,159.2,2342,3299,1.55,3,793,200,0,0,711,8,1,0
2020-01-26,159.6,2173,3316,1.54,2,450,101,8,12,523,7,1,1
2020-01-27,157.2,2626,8505,4.01,3,696,258,10,14,1166,7,1,1
2020-01-28,157.2,2573,7496,3.46,3,723,228,6,20,1084,7,1,1
