Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7876300,Occultation and Other Stories,Laird Barron,"Barron, Laird",,"=""1597801925""","=""9781597801928""",0,4.09,Night Shade,Hardcover,245,2010,2010,,2017/07/13,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""0375831002""","=""9780375831003""",4,4.37,Alfred A. Knopf,Hardcover,552,2006,2005,2020/12/27,2017/03/03,,,read,,,,1,,,1,,,unspecified,,
759517,Hard to Be a God,Arkady Strugatsky,"Strugatsky, Arkady",Boris Strugatsky,"=""0816491216""","=""9780816491216""",0,4.18,Seabury Press,Hardcover,219,1973,1964,,2020/12/24,to-read,to-read (#807),to-read,,,,0,,,0,,,,,
10569,On Writing: A Memoir of the Craft,Stephen King,"King, Stephen",,"=""0743455967""","=""9780743455961""",5,4.32,Pocket Books,Mass Market Paperback,320,2002,2000,2020/12/18,2014/08/02,,,read,,,,2,,,1,,,unspecified,,
920795,The New Weird,Ann VanderMeer,"VanderMeer, Ann","Jeff VanderMeer, Jay Lake, Jeffrey Ford, Sarah Monette, Paul Di Filippo, Michael Moorcock, China Miéville, Hal Duncan, K.J. Bishop, Felix Gilman, Steph Swainston, M. John Harrison, Clive Barker, Leena Krohn, Alistair Rennie","=""1892391554""","=""9781892391551""",0,3.74,Tachyon Publications,Paperback,403,2008,2008,,2020/12/10,to-read,to-read (#806),to-read,,,,0,,,0,,,,,
7597,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.08,Harper Perennial Modern Classics,Paperback,429,2006,1967,,2017/08/31,abandoned,abandoned (#5),abandoned,,,,0,,,1,,,unspecified,,
43093526,"The Cruel Stars (The Cruel Stars, #1)",John Birmingham,"Birmingham, John",,"=""0399593314""","=""9780399593314""",0,4.14,Del Rey Books,Hardcover,412,2019,2019,,2020/12/09,to-read,to-read (#805),to-read,,,,0,,,0,,,,,
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",0,4.24,Viking,Hardcover,288,2020,2020,,2020/12/06,to-read,to-read (#804),to-read,,,,0,,,0,,,,,
44098,The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity,Alan Cooper,"Cooper, Alan",,"=""0672326140""","=""""",0,3.94,Sams Publishing,Paperback,255,2004,1999,,2020/12/05,to-read,to-read (#803),to-read,,,,0,,,0,,,,,
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.16,Basic Books,Paperback,240,2002,1988,,2020/12/05,to-read,to-read (#802),to-read,,,,0,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",4,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,2020/12/05,2018/11/01,,,read,,,,1,,,1,,,unspecified,,
