artist,album,play_count
Between the Buried and Me,Coma Ecliptic,84
King Gizzard & The Lizard Wizard,Infest the Rats' Nest,84
Opeth,Blackwater Park,79
Gojira,From Mars to Sirius,76
Opeth,Heritage (Special Edition),70
Opeth,Watershed (Special Edition),68
Electric Citizen,Sateen,65
Opeth,Sorceress,65
The Oath,The Oath,65
Amy Winehouse,Back to Black,61
London Philharmonic Orchestra,The 50 Greatest Pieces of Classical Music,57
Lucifer,Lucifer II,56
Lucifer,Lucifer I,51
Opeth,Damnation,50
Opeth,Ghost Reveries,43
Frozen Crown,The Fallen King,42
Opeth,Pale Communion,41
Frozen Crown,Crowned in Frost,40
Coven,Witchcraft,39
Opeth,Orchid,37
Opeth,Still Life,37
Tame Impala,Currents,36
Opeth,Deliverance,35
Destiny Potato,Lun,33
Mount Salem,Endless,33
Blood Ceremony,Lord Of Misrule,32
Opeth,Morningrise,32
Electric Citizen,Higher Time,31
Opeth,In Cauda Venenum,31
Blood Ceremony,The Eldritch Dark,30
Lucifer,Lucifer III,30
Blood Ceremony,Living with the Ancients,29
Blood Ceremony,Blood Ceremony,28
Opeth,Still Life (Remastered),28
Electric Citizen,Helltown,27
Skeletonwitch,Breathing the Fire,27
Queens of the Stone Age,Lullabies to Paralyze,26
Amy Winehouse,Lioness: Hidden Treasures,25
Death from Above 1979,The Physical World,25
Mastodon,Crack the Skye,24
Mastodon,Once More 'Round the Sun,23
Death from Above 1979,"You're A Woman, I'm A Machine",22
Ghost,Infestissumam (Deluxe Version),22
Baroness,Yellow & Green,21
Ghost,Meliora (Deluxe Edition),21
Ghost,Prequelle,21
Opeth,My Arms Your Hearse,21
Various Artists,Furi (Original Game Soundtrack),21
Kyuss,Green Machine,20
Queens of the Stone Age,Songs for the Deaf,20
Various Artists,Interstellar: Original Motion Picture Soundtrack (Deluxe Digital Version),20
Animals as Leaders,The Joy Of Motion,19
At the Gates,Slaughter of the Soul (Full Dynamic Range Edition),19
Death from Above 1979,Outrage! Is Now,19
Devin Townsend Project,Epicloud,19
Skeletonwitch,Forever Abomination,19
Amy Winehouse,Frank,18
Between the Buried and Me,Alaska,18
Childish Gambino,Camp,18
Dethklok,The Dethalbum,18
Queens of the Stone Age,Era Vulgaris,18
Animals as Leaders,Weightless,17
Avenged Sevenfold,Nightmare,17
Broken Bells,Broken Bells,17
Carpenter Brut,Blood Machines - Original Motion Picture Soundtrack,17
Crisix,The Menace,17
Moon Tooth,CRUX,17
Ongkara,Hopes & Corpses,17
Orne,The Tree of Life,17
Queens of the Stone Age,...Like Clockwork,17
Skeletonwitch,Beyond the Permafrost,17
TesseracT,Altered State,17
Various Artists,Kill Bill Vol. 1 Original Soundtrack (PA Version),17
Windir,1184,17
Dance Gavin Dance,Mothership,16
Death,Individual Thought Patterns,16
Gojira,The Way of All Flesh,16
MCC [Magna Carta Cartel],Goodmorning Restrained,16
Means End,The Didact,16
Ne Obliviscaris,Urn,16
Night Viper,Night Viper,16
Opeth,"My Arms, Your Hearse",16
Skeletonwitch,Devouring Radiant Light,16
Subvision,So Far So Noir,16
Agatus,The Eternalist,15
Baroness,Blue Record,15
Crisix,Crisix Session #1 : American Thrash,15
Gojira,L'Enfant Sauvage (Special Edition),15
Kendrick Lamar,DAMN.,15
Night Viper,Exterminator,15
Nightwish,HUMAN. :II: NATURE.,15
Skeletonwitch,Serpents Unleashed,15
The Mars Volta,Deloused in the Comatorium,15
Art By Numbers,Reticence: The Musical,14
Devin Townsend,Empath (Deluxe Edition),14
Disperse,Living Mirrors,14
