,artist,play_count,tags
0,Opeth,668,['Progressive metal']
1,Between the Buried and Me,186,['Progressive metal']
2,King Gizzard & The Lizard Wizard,165,['Psychedelic Rock']
3,Lucifer,154,['doom metal']
4,Gojira,139,['death metal']
5,Electric Citizen,132,['Psychedelic Rock']
6,Blood Ceremony,123,['doom metal']
7,Amy Winehouse,109,['soul']
8,Queens of the Stone Age,103,['Stoner Rock']
9,Skeletonwitch,100,['thrash metal']
10,Mastodon,98,['Progressive metal']
11,Ghost,88,['heavy metal']
12,Death,86,['death metal']
13,Frozen Crown,82,['Power metal']
14,Avenged Sevenfold,78,['metalcore']
15,Death from Above 1979,73,['indie']
16,The Oath,67,['doom metal']
17,Animals as Leaders,63,['Progressive metal']
18,Rush,61,['Progressive rock']
19,David Maxim Micic,52,['Progressive metal']
20,Crisix,51,['thrash metal']
21,Baroness,48,['Sludge']
22,Childish Gambino,46,['Hip-Hop']
23,Nightwish,44,['symphonic metal']
24,Coven,39,['Psychedelic Rock']
25,CHON,39,['math rock']
26,Ne Obliviscaris,37,['progressive black metal']
27,Intronaut,37,['Progressive metal']
28,Tame Impala,37,['Psychedelic Rock']
29,Jess and the Ancient Ones,36,['Psychedelic Rock']
30,Devin Townsend Project,35,['Progressive metal']
31,Plini,34,['Progressive metal']
32,Satan,33,['heavy metal']
33,TesseracT,33,['Progressive metal']
34,Destiny Potato,33,['Progressive metal']
35,Mount Salem,33,['doom metal']
36,Hans Zimmer,32,['Soundtrack']
37,Windir,31,['black metal']
38,MCC [Magna Carta Cartel],31,['post-rock']
39,Night Viper,31,['heavy metal']
40,Ongkara,30,['Progressive rock']
41,Moon Tooth,30,['Progressive metal']
42,Kendrick Lamar,28,['Hip-Hop']
43,Devin Townsend,27,['Progressive metal']
44,Cynic,27,['Progressive metal']
45,Tiger Army,26,['psychobilly']
46,Temperance,26,['hardcore']
47,Chimp Spanner,26,['Progressive metal']
48,Brand New,25,['emo']
49,Pink Floyd,24,['Progressive rock']
