artist,track,play_count
King Gizzard & The Lizard Wizard,Mars For The Rich,11
Lucifer,Before the Sun,11
Opeth,Bleak,11
Opeth,Harvest,11
Opeth,The Funeral Portrait,11
Opeth,White Cluster,11
Between the Buried and Me,Dim Ignition,10
King Gizzard & The Lizard Wizard,Organ Farmer,10
Lucifer,Dreamer,10
Lucifer,Morning Star,10
Opeth,Blackwater Park,10
Opeth,Face of Melinda,10
Opeth,Moonlapse Vertigo,10
Opeth,Windowpane,10
The Oath,Silver & Dust,10
Between the Buried and Me,King Redeem / Queen Serene,9
Between the Buried and Me,Node,9
Electric Citizen,Light Years Beyond,9
Gojira,Flying Whales,9
King Gizzard & The Lizard Wizard,Hell,9
King Gizzard & The Lizard Wizard,Perihelion,9
King Gizzard & The Lizard Wizard,Planet B,9
King Gizzard & The Lizard Wizard,Self-Immolate,9
King Gizzard & The Lizard Wizard,Superbug,9
King Gizzard & The Lizard Wizard,Venusian 1,9
King Gizzard & The Lizard Wizard,Venusian 2,9
Opeth,Benighted,9
Opeth,Bridge of Sighs,9
Opeth,Deliverance,9
Opeth,Dirge for November,9
Opeth,Patterns in the Ivy,9
Opeth,The Drapery Falls,9
Opeth,The Leper Affinity,9
Opeth,The Lotus Eater,9
Opeth,The Moor,9
Amy Winehouse,Back to Black,8
Amy Winehouse,Love Is a Losing Game,8
Amy Winehouse,Tears Dry on Their Own,8
Between the Buried and Me,The Coma Machine,8
Between the Buried and Me,The Ectopic Stroll,8
Between the Buried and Me,Turn on the Darkness,8
Coven,Black Sabbath,8
Coven,For Unlawful Carnal Knowledge,8
Electric Citizen,Beggar's Need,8
Electric Citizen,Magnetic Man,8
Gojira,From Mars,8
Gojira,Ocean Planet,8
Lucifer,Reaper on Your Heels,8
Lucifer,White Mountain,8
Mount Salem,Lucid,8
Opeth,Advent,8
Opeth,Godhead's Lament,8
Opeth,Hessian Peel,8
Opeth,Serenity Painted Death,8
Opeth,The Lines in My Hand,8
The Oath,All Must Die,8
The Oath,Black Rainbow,8
The Oath,Night Child,8
Amy Winehouse,Rehab,7
Amy Winehouse,You Know I'm No Good,7
Between the Buried and Me,Famine Wolf,7
Between the Buried and Me,Option Oblivion,7
Devin Townsend Project,Kingdom,7
Electric Citizen,Burning In Hell,7
Electric Citizen,Hide It In The Night,7
Electric Citizen,Lunch,7
Electric Citizen,Savage,7
Electric Citizen,The Trap,7
Gojira,In the Wilderness,7
Lucifer,Faux Pharaoh,7
Lucifer,Ghosts,7
Lucifer,Izrael,7
Lucifer,Purple Pyramid,7
Opeth,Coil,7
Opeth,Derelict Herds,7
Opeth,Era,7
Opeth,Eternal Rains Will Come,7
Opeth,Ghost of Perdition,7
Opeth,Porcelain Heart,7
Opeth,Silhouette,7
Opeth,The Apostle in Triumph,7
Opeth,The Seventh Sojourn,7
Opeth,To Bid You Farewell,7
Red Fang,Prehistoric Dog,7
The Oath,In Dream,7
The Oath,Silk Road,7
Amy Winehouse,Me & Mr Jones,6
Amy Winehouse,Will You Still Love Me Tomorrow? - 2011,6
Between the Buried and Me,Backwards Marathon,6
Between the Buried and Me,Memory Palace,6
Between the Buried and Me,Rapid Calm,6
Blood Ceremony,The Weird of Finistere,6
Cynic,True Hallucination Speak,6
Electric Citizen,Future Persuasion,6
Electric Citizen,Golden Mean,6
Electric Citizen,Shallow Water,6
Ghost,Witch Image,6
Gojira,From The Sky,6
Gojira,Global Warming,6
Gojira,To Sirius,6
Gojira,Unicorn,6
Kiss,Detroit Rock City,6
Lucifer,A Grave for Each One of Us,6
Lucifer,California Son,6
Lucifer,Total Eclipse,6
Opeth,A Fair Judgement,6
Opeth,Burden,6
Opeth,Cusp of Eternity,6
Opeth,Den Standiga Resan,6
Opeth,Ending Credits,6
Opeth,Famine,6
Opeth,For Absent Friends,6
Opeth,Goblin,6
Opeth,Heir Apparent,6
Opeth,Heritage,6
Opeth,Hope Leaves,6
Opeth,In My Time of Need,6
Opeth,Madrigal,6
Opeth,Marrow of the Earth,6
Opeth,Nepenthe,6
Opeth,Pyre,6
Opeth,Requiem,6
Opeth,Slither,6
Opeth,Sorceress,6
Opeth,Sorceress 2,6
Opeth,The Baying of the Hounds,6
Opeth,The Devil's Orchard,6
Opeth,The Night and the Silent Water,6
Opeth,Under the Weeping Moon,6
Opeth,Weakness,6
Opeth,Wreath,6
Orne,Don't Look Now,6
Tame Impala,Let It Happen,6
The Oath,Death Delight,6
The Oath,Leaving Together,6
The Oath,Psalm 7,6
Animals as Leaders,CAFO,5
Avenged Sevenfold,An Epic of Time Wasted,5
Between the Buried and Me,Life in Velvet,5
Blood Ceremony,Ballad of the Weird Sisters,5
Blood Ceremony,Goodbye Gemini,5
Blood Ceremony,Lord of Misrule,5
Blood Ceremony,The Great God Pan,5
Blood Ceremony,The Hermit,5
Blood Ceremony,Witchwood,5
Coven,Portrait,5
CRX,Unnatural,5
David Maxim Micic,Nostalgia,5
Death,Vacant Planets,5
Electric Citizen,Ghost Of Me,5
Electric Citizen,Hawk Nightingale,5
Frozen Crown,Fail No More,5
Frozen Crown,I Am the Tyrant,5
Frozen Crown,In the Dark,5
Frozen Crown,Netherstorm,5
Frozen Crown,To Infinity,5
Ghost,Kiss The Go-Goat,5
Ghost,Per Aspera Ad Inferi,5
Gojira,Backbone,5
Gojira,The Heaviest Matter of the Universe,5
Gojira,World to Come,5
Jess and the Ancient Ones,Shining,5
King Gizzard & The Lizard Wizard,Straws In The Wind,5
Lucifer,Abracadabra,5
Lucifer,Aton,5
Lucifer,Eyes in the Sky,5
Lucifer,Flanked by Snakes,5
Lucifer,Midnight Phantom,5
Lucifer,Phoenix,5
Lucifer,Sabbath,5
Marilyn Manson,Sweet Dreams (Are Made of This),5
Mastodon,The Last Baron,5
Mastodon,The Motherload,5
Means End,Crimson Interloper,5
Mount Salem,Mescaline II,5
Nightwish,Amaranth,5
Nightwish,Élan,5
Nightwish,Wish I Had an Angel,5
Opeth,A Fleeting Glance,5
Opeth,Atonement,5
Opeth,Beneath the Mire,5
Opeth,Black Rose Immortal,5
Opeth,Chrysalis,5
Opeth,Closure,5
Opeth,Death Whispered a Lullaby,5
Opeth,Face in the Snow,5
Opeth,Faith in Others,5
Opeth,Folklore,5
Opeth,Forest of October,5
Opeth,Häxprocess,5
Opeth,Hex Omega,5
Opeth,I Feel the Dark,5
Opeth,In Mist She Was Standing,5
Opeth,Isolation Years,5
Opeth,Master's Apprentices,5
Opeth,Nectar,5
Opeth,Persephone,5
Opeth,Reverie / Harlequin Forest,5
Opeth,River,5
Opeth,Spring MCMLXXIV,5
