Date,Word Count Total,Daily Word Count,Average Daily Word Count,Cultists,A Space Story,The Forest,The Book,The Pyramid,Monsters in the Arena,Banished/Disconnected,The Cyberjunkie,Random Tidbits,Pull YourselfTogether,The Eye,Sirens
12/29/19,489,489,489,489,,,,,,,,,,,
12/30/19,489,0,245,489,,,,,,,,,,,
12/31/19,489,0,163,489,,,,,,,,,,,
1/1/20,738,249,185,738,,,,,,,,,,,
1/2/20,738,0,148,738,,,,,,,,,,,
1/3/20,738,0,123,738,,,,,,,,,,,
1/4/20,868,130,124,868,,,,,,,,,,,
1/5/20,933,65,117,933,,,,,,,,,,,
1/6/20,933,0,104,933,,,,,,,,,,,
1/7/20,1158,225,116,1158,,,,,,,,,,,
1/8/20,1158,0,105,1158,,,,,,,,,,,
1/9/20,1457,299,121,1457,,,,,,,,,,,
1/10/20,1509,52,116,1509,,,,,,,,,,,
1/11/20,1812,303,129,1812,,,,,,,,,,,
1/12/20,2043,231,136,2043,,,,,,,,,,,
1/13/20,2043,0,128,2043,,,,,,,,,,,
1/14/20,2352,309,138,2352,,,,,,,,,,,
1/15/20,2518,166,140,2518,,,,,,,,,,,
1/16/20,2585,67,136,2585,,,,,,,,,,,
1/17/20,3073,488,154,3073,,,,,,,,,,,
1/18/20,3190,117,152,3190,,,,,,,,,,,
1/19/20,3190,0,145,3190,,,,,,,,,,,
1/20/20,3190,0,139,3190,,,,,,,,,,,
1/21/20,3190,0,133,3190,,,,,,,,,,,
1/22/20,3733,543,149,3733,,,,,,,,,,,
1/23/20,4268,535,164,4268,,,,,,,,,,,
1/24/20,4354,86,161,4354,,,,,,,,,,,
1/25/20,4900,546,175,4900,,,,,,,,,,,
1/26/20,4982,82,172,4982,,,,,,,,,,,
1/27/20,5385,403,180,5385,,,,,,,,,,,
1/28/20,5871,486,189,5871,,,,,,,,,,,
1/29/20,6064,193,190,6064,,,,,,,,,,,
1/30/20,6064,0,184,6064,,,,,,,,,,,
1/31/20,6112,48,180,6112,,,,,,,,,,,
2/1/20,6614,502,189,6614,,,,,,,,,,,
2/2/20,7134,520,198,7134,,,,,,,,,,,
2/3/20,7134,0,193,7134,,,,,,,,,,,
2/4/20,7134,0,188,7134,,,,,,,,,,,
2/5/20,7166,32,184,7166,,,,,,,,,,,
2/6/20,7166,0,179,7166,,,,,,,,,,,
2/7/20,7166,0,175,7166,,,0,,,,,,,,
2/8/20,7413,247,177,7166,,,247,,,,,,,,
2/9/20,7413,0,172,7166,,,247,,,,,,,,
2/10/20,8201,788,186,7166,,,1035,,,,,,,,
2/11/20,8709,508,194,7166,,,1543,,,,,,,,
2/12/20,9016,307,196,7166,,,1850,,,,,,,,
2/13/20,9016,0,192,7166,,,1850,,,,,,,,
2/14/20,9547,531,199,7166,,,2381,,,,,,,,
2/15/20,10047,500,205,7166,,,2881,,,,,,,,
2/16/20,10559,512,211,7166,,,3393,,,,,,,,
2/17/20,10559,0,207,7166,,,3393,,,,,,,,
2/18/20,10559,0,203,7166,,,3393,,,,,,,,
2/19/20,10628,69,201,7166,,,3462,,,,,,,,
2/20/20,11194,566,207,7166,,,4028,,,,,,,,
2/21/20,11851,657,215,7166,,,4685,,,,,,,,
2/22/20,11851,0,212,7166,,,4685,,,,,,,,
2/23/20,11851,0,208,7166,,,4685,,,,,,,,
2/24/20,11851,0,204,7166,,,4685,,,,,,,,
2/25/20,11851,0,201,7166,,,4685,,,,,,,,
2/26/20,12361,510,206,7166,,,5195,,,,,,,,
2/27/20,12893,532,211,7166,,,5727,,,,,,,,
2/28/20,13166,273,212,7166,,,6000,,,,,,,,
2/29/20,13491,325,214,7166,,,6325,,,,,,,,
3/1/20,13491,0,211,7166,,,6325,,,,,,,,
3/2/20,13491,0,208,7166,,,6325,,,,,,,,
3/3/20,13776,285,209,7166,,,6610,,,,,,,,
3/4/20,13983,207,209,7166,,,6817,,,,,,,,
3/5/20,14715,732,216,7166,,,7549,,,,,,,,
3/6/20,14848,133,215,7166,,,7682,,,,,,,,
3/7/20,14848,0,212,7166,,,7682,,,,,,,,
3/8/20,14848,0,209,7166,,,7682,,,,,,,,
3/9/20,14848,0,206,7166,,,7682,,,,,,,,
3/10/20,14848,0,203,7166,,,7682,,,,,,,,
3/11/20,14848,0,201,7166,,,7682,,,,,,,,
3/12/20,14970,122,200,7166,,,7804,,0,,,,,,
3/13/20,15697,727,207,7166,,,8444,,87,,,,,,
3/14/20,16601,904,216,7166,,,8783,,652,,,,,,
3/15/20,18569,1968,238,7166,,,8783,,2620,,,,,,
3/16/20,20329,1760,257,7166,,,8783,,4380,,,,,,
3/17/20,20329,0,254,7166,,,8783,,4380,,,,,,
3/18/20,20490,161,253,7166,,,8783,,4541,,,,,,
3/19/20,22099,1609,270,7166,,,8783,,6150,,,,,,
3/20/20,23689,1590,285,7166,,,8783,,7740,,,,,,
3/21/20,24684,995,294,7166,,,8783,,8735,,,,,,
3/22/20,24684,0,290,7166,,,8783,,8735,,,,,,
3/23/20,25219,535,293,7166,,,8783,,9270,,,,,,
3/24/20,26159,940,301,7166,,,8783,,10210,,,,,,
3/25/20,27099,940,308,7166,,,8783,,11150,,,,,,
3/26/20,27575,476,310,7166,,,8783,,11626,,,,,,
3/27/20,28218,643,314,7166,,0,8783,,12269,,,,,,
3/28/20,29716,1498,327,7166,,900,8783,,12867,,,,,,
3/29/20,31304,1588,340,7166,,2488,8783,,12867,,,,,,
3/30/20,31973,669,344,7166,,3157,8783,0,12867,,,,,,
3/31/20,32475,502,345,7166,,3157,8783,502,12867,,,,,,
4/1/20,32475,0,342,7166,,3157,8783,502,12867,,,,,,
4/2/20,32475,0,338,7166,,3157,8783,502,12867,,,,,,
4/3/20,32475,0,335,7166,,3157,8783,502,12867,,,,,,
4/4/20,33196,721,339,7166,,3157,8783,1223,12867,,,,,,
4/5/20,34433,1237,348,7166,,3157,8783,2460,12867,,,,,,
4/6/20,35377,944,354,7166,0,3157,8783,3404,12867,,,,,,
4/7/20,35920,543,356,7166,543,3157,8783,3404,12867,,,,,,
4/8/20,36593,673,359,7166,1216,3157,8783,3404,12867,0,,,,,
4/9/20,37603,1010,365,7166,1558,3157,8783,3404,12867,668,,,,,
4/10/20,37603,0,362,7166,1558,3157,8783,3404,12867,668,,,,,
4/11/20,37814,211,360,7166,1558,3157,8783,3404,12867,879,,,,,
4/12/20,39658,1844,374,7166,1558,3157,8783,3404,12867,2723,,,,,
4/13/20,40442,784,378,7166,1558,3157,8783,3404,12867,3507,,,,,
4/14/20,40442,0,374,7166,1558,3157,8783,3404,12867,3507,,,,,
4/15/20,40596,154,372,7166,1558,3157,8783,3404,12867,3661,,,,,
4/16/20,41498,902,377,7166,1558,3157,8783,3404,12867,4563,,,,,
4/17/20,42695,1197,385,7166,1558,3157,8783,3404,12867,5760,,,,,
4/18/20,42695,0,381,7166,1558,3157,8783,3404,12867,5760,,,,,
4/19/20,42695,0,378,7166,1558,3157,8783,3404,12867,5760,,,,,
4/20/20,42695,0,375,7166,1558,3157,8783,3404,12867,5760,,,,,
4/21/20,43252,557,376,7166,1558,3157,8783,3404,12867,6317,0,,,,
4/22/20,43682,430,377,7166,1558,3157,8783,3404,12867,6400,347,,,,
